corpus_id,Year,Source title,Open Access,screening_confidence,screening_reason_category,pdf_recovered
paper-0298,2026,Journal of Ocean Engineering and Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0300,2026,Aerospace Science and Technology,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
paper-0301,2026,Information Fusion,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0302,2026,Journal of Engineering and Applied Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0304,2026,Applied Energy,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0305,2026,Journal of the Faculty of Engineering and Architecture of Gazi University,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0306,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0307,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0308,2026,Green Energy and Intelligent Transportation,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0309,2026,Engineering Research Express,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0313,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0315,2026,Ocean Engineering,All Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0319,2026,Polish Maritime Research,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0320,2026,World Electric Vehicle Journal,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0322,2026,International Journal of Hydrogen Energy,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0323,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0324,2026,International Journal of Prognostics and Health Management,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0326,2026,International Journal of Computational Intelligence Systems,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0327,2026,Reliability Engineering and System Safety,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0330,2026,Actuators,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0331,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0333,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0334,2026,Reliability Engineering and System Safety,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0335,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0336,2026,Computers and Chemical Engineering,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0337,2026,Structural Health Monitoring,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,True
paper-0338,2026,Ocean Engineering,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0339,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0340,2026,Algorithms,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0343,2026,Energy Informatics,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0344,2026,AIP Advances,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0346,2026,Discover Mechanical Engineering,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0347,2026,Journal of Engineering and Applied Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0348,2026,Discover Internet of Things,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
