method,pool_size,top_k,lambda,keep_top1,weights,n_queries,mean_similarity,top1_similarity,ild_main_weights,unique_model_signatures,unique_model_types,unique_model_approaches,queries_with_duplicate_model_signature
MMR,30,3,0.6,True,main,1821,0.5525205930807249,0.5630340472267985,0.6429989235523315,3.0,2.6666666666666665,1.9198242723778143,0
MMR,30,3,0.7,True,main,1821,0.5533730550979316,0.5630340472267985,0.6411282451806769,3.0,2.656232839099396,1.9154310818231741,0
MMR,30,3,0.8,True,main,1821,0.5543430349624748,0.5630340472267985,0.6375541946875457,3.0,2.645249862712795,1.9044481054365734,0
MMR,30,3,0.9,True,main,1821,0.5566093721398498,0.5630340472267985,0.6182793585891253,2.9923119165293794,2.543657331136738,1.886326194398682,13
MMR,30,3,1.0,True,main,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
CBR,30,5,1.0,True,n/a,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
MMR,30,5,0.0,True,main,1821,0.4925922020867655,0.5630340472267985,0.6040647581317574,5.0,3.5963756177924218,2.0,0
MMR,30,5,0.5,True,main,1821,0.5491789126853377,0.5630340472267985,0.5822002600477352,5.0,3.5205930807248764,1.9412410763316859,0
MMR,30,5,0.6,True,main,1821,0.5509277320153761,0.5630340472267985,0.5789680108917008,5.0,3.483250961010434,1.926963207029105,0
MMR,30,5,0.7,True,main,1821,0.5516751235584844,0.5630340472267985,0.577382239039108,4.99945085118067,3.4508511806699618,1.9253157605711149,1
MMR,30,5,0.8,True,main,1821,0.5527993410214168,0.5630340472267985,0.5752092598806448,4.9923119165293794,3.43218012081274,1.9242174629324547,14
MMR,30,5,0.9,True,main,1821,0.5540257001647446,0.5630340472267985,0.5668663422728448,4.985722130697419,3.3794618341570564,1.9214717188358046,25
MMR,30,5,1.0,True,main,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
CBR,30,10,1.0,True,n/a,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
MMR,30,10,0.0,True,main,1821,0.48344816035145527,0.5630340472267985,0.5528522502663986,10.0,4.377265238879737,2.0,0
MMR,30,10,0.5,True,main,1821,0.5371439319055464,0.5630340472267985,0.5381667090856613,10.0,4.306425041186161,2.0,0
MMR,30,10,0.6,True,main,1821,0.5382493135639759,0.5630340472267985,0.5364671400622414,10.0,4.296540362438221,1.99945085118067,0
MMR,30,10,0.7,True,main,1821,0.538838495332235,0.5630340472267985,0.5353000914755689,9.99176276771005,4.28775398132894,1.99835255354201,14
MMR,30,10,0.8,True,main,1821,0.5394887973640856,0.5630340472267985,0.5322837201934688,9.98846787479407,4.257550796265788,1.9978034047226798,20
MMR,30,10,0.9,True,main,1821,0.5402526633717738,0.5630340472267985,0.5260511373176151,9.978034047226798,4.227347611202636,1.9967051070840198,33
MMR,30,10,1.0,True,main,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
